LOS,pt_disposition,N,LOS2
1,Expired,10226,1
2,Expired,4655,2
3,Expired,3774,3
4,Expired,3244,4
5,Expired,2744,5
6,Expired,2521,6
7,Expired,2242,7
8,Expired,1982,8
9,Expired,1739,9
10,Expired,1586,10
11,Expired,1365,11
12,Expired,1236,12
13,Expired,1038,13
14,Expired,949,14
15,Expired,869,15
16,Expired,789,16
17,Expired,739,17
19,Expired,601,19
18,Expired,596,18
20,Expired,491,20
21,Expired,488,21
22,Expired,411,22
23,Expired,384,23
25,Expired,338,25
24,Expired,326,24
26,Expired,268,26
27,Expired,268,27
28,Expired,239,28
120 +,Expired,222,120
31,Expired,220,31
29,Expired,209,29
30,Expired,199,30
33,Expired,187,33
32,Expired,157,32
35,Expired,149,35
36,Expired,140,36
34,Expired,136,34
39,Expired,126,39
38,Expired,122,38
37,Expired,111,37
40,Expired,108,40
41,Expired,106,41
42,Expired,89,42
43,Expired,87,43
44,Expired,86,44
45,Expired,84,45
47,Expired,70,47
49,Expired,66,49
48,Expired,61,48
46,Expired,55,46
53,Expired,50,53
54,Expired,50,54
50,Expired,46,50
51,Expired,45,51
56,Expired,43,56
52,Expired,42,52
58,Expired,34,58
55,Expired,32,55
57,Expired,32,57
65,Expired,32,65
59,Expired,30,59
60,Expired,28,60
61,Expired,27,61
63,Expired,27,63
67,Expired,27,67
66,Expired,26,66
62,Expired,25,62
64,Expired,23,64
71,Expired,23,71
68,Expired,22,68
75,Expired,21,75
72,Expired,20,72
82,Expired,20,82
77,Expired,19,77
76,Expired,18,76
79,Expired,18,79
69,Expired,17,69
74,Expired,15,74
83,Expired,15,83
93,Expired,15,93
81,Expired,14,81
70,Expired,13,70
73,Expired,13,73
78,Expired,13,78
80,Expired,13,80
86,Expired,12,86
87,Expired,12,87
90,Expired,12,90
88,Expired,11,88
94,Expired,11,94
100,Expired,10,100
107,Expired,10,107
89,Expired,10,89
95,Expired,10,95
84,Expired,9,84
85,Expired,9,85
92,Expired,9,92
99,Expired,9,99
104,Expired,8,104
108,Expired,8,108
91,Expired,8,91
112,Expired,7,112
103,Expired,6,103
110,Expired,6,110
96,Expired,6,96
97,Expired,6,97
102,Expired,5,102
118,Expired,5,118
98,Expired,5,98
101,Expired,4,101
105,Expired,4,105
113,Expired,4,113
114,Expired,4,114
117,Expired,4,117
119,Expired,4,119
111,Expired,3,111
116,Expired,3,116
106,Expired,2,106
109,Expired,1,109
115,Expired,1,115
